描述,价格,房源类型,出租类型,可住人数,面积,省份,城区,房源评论数,房客评价,房源综合得分,房主好评率,房主回复率,房主接单率,其他房源数,其他房源平均分,房源好评率,近期预定量
"
                北欧清新简约风格，房间配备2间卧室、1间客厅、1间厨房和2间卫生间。 40寸全智能WiFi电视，100兆WiFi，还配置了空调、洗衣机、冰箱等全套品牌电器家具。楼上分别配有1.8*2米双垫高档大床和1.5*2米舒适大床，全棉亲肤四件套，尽享家的温馨。楼上配置榻榻米品茶区，精致的茶桌前品品茶，在香飘屋内外，味淳一杯中，让您彻底放松心情！楼上、下各配置一个卫生间，简洁方便，洗漱用具齐全，洗澡24小时热水妥妥的！楼下客厅配有北欧风格简约时尚的沙发、特色格调吧台的休闲区让您尽享悠然。还设有长8米，高4米多的全玻落地阳台，让你在高空尽揽津城美景。尤其到了夜晚，坐于吧台细呷美酒的香醇，全玻阳台将津城夜景可尽收眼底，那是多么的惬意的感受！如果您已厌倦了外面的饭菜，开放式厨房，厨具齐全，可简单配餐制作，让您完全体验家的感觉。楼内设有八部电梯，让您出行不用长时间等待电梯，楼宇属高档公寓楼，物业设有门禁管理安全有序，24小时保安在岗。
            ",258,Loft公寓,整租,4人,71平米,天津,河东区,10, 第一次住民宿，感谢房东给了我们一家非常美好的回忆。房子装修的很有品位，跟图片上的一样，复式，各种物件干净整洁，很有家的温馨感。孩子很喜欢房东准备的抱偶，走的时候恋恋不舍。希望下次到天津还能住在这里。+ 房东态度很好 很赞！+ 房东非常热情，民宿地址也很好找，离景区都很近，很满意的一次住宿。+ 入住体验超级棒，带父母旅游一定要选择环境舒适以及交通便利的房子，这家绝对是您不二的选择。+ 停车方便#  地铁交通便利#  可以做饭#  房东服务周到#  干净卫生#  + 地铁交通便利#  干净卫生#  设施齐全#  可以做饭#  房东服务周到#  + 房东特别好，房间也很干净，所有东西都很齐全，价格也很人性化，房间的地理位置也特别好，很喜欢！谢谢啦，以后来天津还会来这里的！+ 非常不错 环境优美 + 房东姐姐人超级好，房子特别干净，+ 房东服务周到#  干净卫生#  地铁交通便利#  设施齐全#  购物吃饭方便#  ,5,100.00%,100.00%,92.90%,2,5,100%,30 晚
"
                简约时尚精装修，配备舒适的大床和一客一换的床上用品。以人为本设计的办公桌、茶几和小圆桌，无论您是办公、用餐还是会客，都会有不同的空间和环境。
?500米内有药店、银行、各种餐饮店、彩带公园、极地海洋馆。
1000米内有医院、高铁站、外滩公园、金元宝购物中心、环球购免税购物广场、电影院、潮音寺等配套设施，很好齐全。
            ",185,普通公寓,整租,2人,50平米,天津,滨海新区,6, 很好很干净+ 都不错，谢谢！+ 非常干净整洁+ 非常感谢民宿+ 非常感谢民宿+ 非常感谢民宿！,5,100.00%,100.00%,90.70%,9,4.989,99%,30 晚
"
                简约时尚精装修，配备舒适的大床和一客一换的床上用品。以人为本设计的办公桌、茶几和小圆桌，无论您是办公、用餐还是会客，都会有不同的空间和环境。
?500米内有药店、银行、各种餐饮店、彩带公园、极地海洋馆。
1000米内有医院、高铁站、外滩公园、金元宝购物中心、环球购免税购物广场、电影院、潮音寺等配套设施，很好齐全。
            ",185,普通公寓,整租,2人,50平米,天津,滨海新区,0,,,100.00%,100.00%,90.70%,9,4.989,100%,30 晚
"
                55平米大开间中央空调.数字液晶电视,高配置电脑24小时免费上网；厨房可配备电磁炉.可以做饭.冰箱,全自动洗衣机24小时热水,双人布艺软床,沙发组合衣柜.数字机顶盒.一次性洗漱用品高配置电脑.10兆光纤入户.提供无线wifi上网.床上用品一客一换.也可加床服务。
            ",158,普通公寓,整租,2人,50平米,天津,滨海新区,1, 地铁交通便利#  干净卫生#  设施齐全#  性价比高#  ,5,100.00%,70.00%,100.00%,28,5,100%,28 晚
"
                1.房屋位置：紧邻友谊南路，地处梅江会展中心、奥体中心繁华地段；周边好几个公交站，距离华山里地铁站非常近，交通出行非常方便！紧邻微山南路小吃街，人人乐，大润发大型购物超市，吃饭购物应有尽有！
距离天津大学，南开大学北洋校区10分钟路程，楼下就是公交站613直达学校！
2.户型：精装大一室一厅，房间户型方正，阳光充足，十分温馨。
3.装修：简约明快风格；
4.屋内设施：房间内WIFI，24小时热水，洗衣机，微波炉，液晶电视，空调设备，洗浴用品毛巾，浴巾，洗发液，沐浴液，一次性洗漱用品如牙膏牙刷，电吹风，暖气很好！
5.此小区物业是全国的万科物业，小区24小时保安巡逻，随叫随到！超大绿化，在天津市是非常有名的高档住宅小区！新小区门禁系统，时刻守卫您的安全。
6.交通方式：多条公交线路，四通八达，近天津南站、天津西站，天津站；紧邻外环线13公里直达机场。
7.房屋周边设施：紧邻大梅江，银行、学校、酒店、医院、商场、饮食等周边配套齐全！
8.到附近可免费接送，机场和火车站有偿接送！
            ",218,普通公寓,整租,3人,51平米,天津,津南区,0,,,100.00%,100.00%,100.00%,7,5,100%,24 晚
"
                 本酒店位于天津市塘沽区新港一号路瑞湾国际，星级标准，豪华大床房，24小时温泉水，免费无线网，独立卫生间，开放式厨房，可以做饭，有洗衣机，冰箱，微波炉等配套设施，环境优雅，24小时保安值班，紧邻于家堡高铁站，市民广场轻轨站，交通非常便利。旅游景点有海边人工沙滩，航母公园，方特娱乐场，海洋，外滩公园等。
            ",238,普通公寓,整租,2人,45平米,天津,滨海新区,2, 环境不错棒棒棒+ 上周末孩子发烧了，等着我吧，这周末还去,5,100.00%,100.00%,98.90%,10,4.5,100%,22 晚
"
                室内精心设计，品牌家电，中央空调，现代简约风，小区内24小时保安，给您带来安全舒适的居住环境。
            ",155,普通公寓,整租,2人,62平米,天津,河西区,2, 第二次入住，真心不错，继续合作，！+ 很好的民宿，和图片一样，干净整洁，下次继续！,5,100.00%,92.30%,100.00%,8,5,100%,30 晚
"
                您将结识一位爱读书，爱旅游，开郎热情的大姐，欢迎光临时尚装修的浪漫风格，酒店式公寓房，入住2人，可以是情侣房，可以是三口之家套房，内有空调，无线网，24小时热水澡，还可提供厨具做饭，旅途之余，到楼下附近超市买些食材，还可做一顿美餐，快来大展厨艺吧！
            ",198,小区住宅,整租,2人,45平米,天津,北辰区,1, 有家的感觉！,5,100.00%,100.00%,100.00%,15,5,100%,24 晚
"
                房屋都是落地窗采光很好，品茶观景岂不美哉！家里所用电器均为知名品牌，一次性拖鞋及牙具还有餐具消毒柜等设备让您放心使用每一件物品。灶台上厨具佐料齐全，冰箱里各种饮料丰富让您犹如真正回到家里的感觉！
            ",178,小区住宅,整租,4人,60平米,天津,河东区,4, 挺开心的一次跨年，被这次入住破坏了心情。到民宿之前，问房东电视是否能看，调料是否都有，房东说应该都有，但到了后发现电视要收费，自己找了半天才找到一个能看的，至于为什么是靠自己，毕竟房东说他都不了解，那我们不靠自己还能靠谁呢..好不容易把电视调好了，发现做饭要的调料是摆在那好看的空瓶，盘子很脏，洗洁精和刀具也没有，我们体谅房东，就自己在美团外卖上订了耗油，醋，麻酱这些调料，也只让房东送来刀具和洗洁精，吃完饭我们问房东，是否需要洗碗，房东说都可以，不过要收清洁费，但平台上写的清洁费是免费，当然，如果是那个放在角落里不明说最后又冒出来的房东要求写要收，那就麻烦先把截图发我一下说清楚啊。我们把该倒的都倒进了垃圾桶，把空碗码在池子里放好，剩余的垃圾也全部扔出去了。第二天该退押金了，房东说他家里有事，退不了，要晚点，我也就没说什么，结果第二天您不知道退还得我们催？这时候您就开始说清洁也要收费了，本来做饭90元就不合理，您的酱料一滴没用，还给您留了我们买的，晚上做个饭电磁炉和水电费您收90？清洁费也不说清楚，退钱的时候才把房东要求发给我？打电话态度很差，还说我们矫情没教养？这次让您赚够，没下次了。+ 很好的环境住的很放心，北欧风格我很喜欢下次再来+ 房间很新，很宽敞。厨房调料齐全，虽然我们没用，但是能感觉到房主的用心。冰箱里的东西都是送我们的，超开心，有矿泉水，牛奶，泡面。房主还准备了一次性拖鞋。环境就和房主的图片一模一样。总之很喜欢。+ 干净整齐居住很舒服,4.5,100.00%,100.00%,92.00%,7,2.543,90%,28 晚
"
                你将结识一个爱分享，性格开朗，热情好客的大姐。欢迎到我家做客!
时尚清新的装修风格，楼上楼下复式公寓，内置楼梯，配备一张舒适的大床，还配置一个单人床，一个榻榻米。床单被罩颜色时尚多款，随机分配哦！房间宽敞明亮，干净舒适，所用用品一客一换，相信您一定会舒舒服服的数个好觉！除此之外还有中央空调，液晶电视 。热水器，茶具等，免费WiFi ，以及两个独立的卫生间哦（24小时热水是妥妥的）！移动办公的话提供有办公桌，附近有超市，运河观光带，北辰郊野公园，休闲之余，可到河边走走，呼吸下北辰清新的空气，如果喜欢垂钓的朋友，可以到运河边大展您的技艺啊！
对房客的要求：
入住时间14点----次日12点前退房
订房时间每日7点------晚上11点前
可接待性别：不限
可接待年龄：1-69岁
其他要求：请保持环境 爱护设施 遵守当地法律
1，请准备好您的有效身份证件，需要登记；
2，爱护公寓的物品，易碎品超赞只看不碰哦，如果物品损坏，需要再买一件；随地吐痰，乱扔垃圾烟头的请止步。
3，接待爱干净的，有正当出行目的的
4，为了不对楼下邻居造成影响，请保持安静。
5，入住期间，非入住客人不能留宿。
            ",286,小区住宅,整租,3人,106平米,天津,北辰区,0,,,100.00%,100.00%,100.00%,15,5,100%,30 晚
"
                此房间为1楼，夏天有空调，冬天有暖气，春秋均不能使用空调，下单前先联系房东确认有无空房，确认无误后方可下单付款，友情提示：订房的话，周一住，起租7天，周二住，起租6天，周三住，起租5天，周四住，起租4天，以此类推，节假日除外，谢谢合作！如遇节假日及特殊日期订房人太多不能保证留订单图片上一模一样的房间，只能留同等价位的房间，介意者慎拍。本店楼层1~4楼，房型有一室一厅和两室，为了给广大前来就诊的病人及病人家属提供方便，屋内配有电视，机顶盒，所有房间均备有电水壶，电饭锅，炒锅，蒸锅，电扇，空调，免费wifi，能洗澡，能做饭，被褥一客一换，干净卫生，拎包入住,交通便利,附近有菜市场和派出所，即安全又方便，适合来天津肿瘤医院就诊的病人和家属。住在本店的客户另备有医院门口优惠停车位供您选择。
            ",100,小区住宅,单间,2人,12平米,天津,河西区,1, 房东人真的超好，而且挨着地铁和公交站都很方便，直接导航就可以去各种景点,5,100.00%,100.00%,82.10%,13,3.154,100%,16 晚
